facility,category,temperature,gas_ppm,noise_db,radiation,heart_rate,fatigue,hour
Distillation Column,Petrochemical,92.0,198.6,71.5,0.1139,95.7,12.5,0.0
Distillation Column,Petrochemical,92.0,203.2,73.4,0.099,95.7,12.6,0.08
Distillation Column,Petrochemical,92.0,203.5,72.4,0.099,97.6,5.0,0.15
Distillation Column,Petrochemical,92.0,209.8,70.8,0.1067,99.4,10.6,0.22
Distillation Column,Petrochemical,92.0,209.3,74.6,0.1072,97.8,12.1,0.3
Distillation Column,Petrochemical,92.0,202.7,72.4,0.1089,99.4,13.7,0.38
Distillation Column,Petrochemical,92.0,207.9,74.4,0.1037,100.3,12.2,0.45
Distillation Column,Petrochemical,92.0,205.4,74.6,0.1031,102.4,11.0,0.52
Distillation Column,Petrochemical,92.0,203.0,75.3,0.1016,99.8,18.5,0.6
Distillation Column,Petrochemical,92.0,200.5,71.4,0.1079,100.3,13.6,0.68
Distillation Column,Petrochemical,92.0,200.4,76.1,0.1078,100.7,14.9,0.75
Distillation Column,Petrochemical,92.0,188.8,75.2,0.1156,102.4,14.4,0.83
Distillation Column,Petrochemical,92.0,185.1,74.4,0.1041,102.5,14.0,0.9
Distillation Column,Petrochemical,92.0,181.7,74.8,0.115,94.5,14.3,0.98
Distillation Column,Petrochemical,92.0,173.0,74.9,0.1118,98.7,10.9,1.05
Distillation Column,Petrochemical,92.0,165.7,75.8,0.1143,98.1,12.0,1.12
Distillation Column,Petrochemical,92.0,159.7,76.1,0.1037,101.9,11.1,1.2
Distillation Column,Petrochemical,92.0,146.4,75.1,0.1084,100.6,12.5,1.27
Distillation Column,Petrochemical,92.0,134.2,75.3,0.1091,98.2,12.0,1.35
Distillation Column,Petrochemical,92.0,127.5,76.3,0.113,103.6,14.9,1.42
Distillation Column,Petrochemical,92.0,116.6,74.7,0.1062,97.5,11.0,1.5
Distillation Column,Petrochemical,92.0,110.7,76.7,0.1117,98.0,9.7,1.58
Distillation Column,Petrochemical,92.0,98.0,76.6,0.1148,100.6,13.3,1.65
Distillation Column,Petrochemical,92.0,85.1,77.8,0.1041,100.5,14.2,1.72
Distillation Column,Petrochemical,92.0,78.9,75.7,0.1022,101.1,13.2,1.8
Distillation Column,Petrochemical,92.0,65.0,76.4,0.11,98.5,8.4,1.88
Distillation Column,Petrochemical,92.0,54.1,77.8,0.112,97.8,11.9,1.95
Distillation Column,Petrochemical,92.0,43.7,78.2,0.1131,104.8,10.5,2.03
Distillation Column,Petrochemical,92.0,39.9,77.6,0.126,102.0,7.7,2.1
Distillation Column,Petrochemical,92.0,27.8,78.4,0.122,98.6,15.2,2.17
Distillation Column,Petrochemical,92.0,15.9,75.6,0.1144,98.5,11.1,2.25
Distillation Column,Petrochemical,92.0,6.6,75.8,0.1188,101.6,13.8,2.33
Distillation Column,Petrochemical,92.0,0.0,80.5,0.1153,101.7,10.3,2.4
Distillation Column,Petrochemical,92.0,0.0,78.6,0.1186,101.1,11.4,2.47
Distillation Column,Petrochemical,92.0,0.0,76.6,0.1149,100.4,10.8,2.55
Distillation Column,Petrochemical,92.0,0.0,76.0,0.1114,101.3,7.1,2.62
